,author_id,post_id,author_name,link_karma,comment_karma,acc_creation_date,is_gold,is_mod,is_employee
309,cn5bti35,vsqmuf,zuomok,3001,6634,2021-06-10 23:07:42+08:00,False,False,False
310,cn5bti35,vsqmuf,zuomok,3001,6634,2021-06-10 23:07:42+08:00,False,False,False
311,cn5bti35,vsqmuf,zuomok,3001,6634,2021-06-10 23:07:42+08:00,False,False,False
312,cn5bti35,vsqmuf,zuomok,3001,6634,2021-06-10 23:07:42+08:00,False,False,False
313,cn5bti35,vsqmuf,zuomok,3001,6634,2021-06-10 23:07:42+08:00,False,False,False
314,cn5bti35,vsqmuf,zuomok,3001,6634,2021-06-10 23:07:42+08:00,False,False,False
315,cn5bti35,vsqmuf,zuomok,3001,6634,2021-06-10 23:07:42+08:00,False,False,False
316,8ter06gm,vsqjm8,zippygoldi,5928,377,2020-11-09 20:22:42+08:00,False,False,False
317,8ter06gm,vsqjm8,zippygoldi,5928,377,2020-11-09 20:22:42+08:00,False,False,False
318,8ter06gm,vsqjm8,zippygoldi,5928,377,2020-11-09 20:22:42+08:00,False,False,False
319,8ter06gm,vsqjm8,zippygoldi,5928,377,2020-11-09 20:22:42+08:00,False,False,False
320,8ter06gm,vsqjm8,zippygoldi,5928,377,2020-11-09 20:22:42+08:00,False,False,False
321,8ter06gm,vsqjm8,zippygoldi,5928,377,2020-11-09 20:22:42+08:00,False,False,False
322,8ter06gm,vsqjm8,zippygoldi,5928,377,2020-11-09 20:22:42+08:00,False,False,False
323,8ter06gm,vsqjm8,zippygoldi,5928,377,2020-11-09 20:22:42+08:00,False,False,False
324,8ter06gm,vsqjm8,zippygoldi,5928,377,2020-11-09 20:22:42+08:00,False,False,False
325,8ter06gm,vsqjm8,zippygoldi,5928,377,2020-11-09 20:22:42+08:00,False,False,False
326,1eqdt8vc,vsq5va,lobangbecausenomoney,13548,19506,2018-05-21 00:31:08+08:00,False,False,False
327,1eqdt8vc,vsq5va,lobangbecausenomoney,13548,19506,2018-05-21 00:31:08+08:00,False,False,False
328,1eqdt8vc,vsq5va,lobangbecausenomoney,13548,19506,2018-05-21 00:31:08+08:00,False,False,False
329,1eqdt8vc,vsq5va,lobangbecausenomoney,13548,19506,2018-05-21 00:31:08+08:00,False,False,False
330,n15s4ez,vspjdl,FightWithHonour,4547,7898,2017-12-04 09:37:59+08:00,False,False,False
331,n15s4ez,vspjdl,FightWithHonour,4547,7898,2017-12-04 09:37:59+08:00,False,False,False
332,n15s4ez,vspjdl,FightWithHonour,4547,7898,2017-12-04 09:37:59+08:00,False,False,False
333,n15s4ez,vspjdl,FightWithHonour,4547,7898,2017-12-04 09:37:59+08:00,False,False,False
