,author_id,post_id,author_name,link_karma,comment_karma,acc_creation_date,is_gold,is_mod,is_employee
559,2pri9856,vb2g37,iheartyoualways,1153,2113,1543852282.0,False,False,False
560,ojuqd,vb2gcz,Twrd4321,71809,99336,1436105514.0,False,True,False
561,2ucw04dq,vb1vn9,litepad,1601,10101,1547139255.0,False,False,False
562,46ldeyud,vb0ny6,Jonnyboo234,10349,511,1563467367.0,False,False,False
563,6z4wpym0,vb005n,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
564,vjhr0h9,vaxcmc,worldcitizensg,14767,57213,1517833338.0,False,True,False
565,6l4z3,vawm8w,AutoModerator,1000,1000,1325741068.0,True,True,False
566,5peq6klc,vaoclr,Iridiumstuffs,111341,12317,1581909412.0,False,True,False
567,6z4wpym0,vanmx8,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
568,57adb,vakq6l,milnoraa,379,1133,1304752159.0,False,False,False
569,au5bre3r,vak5x7,ComfortableOk7485,2601,3734,1626243900.0,False,False,False
570,6z4wpym0,vak5sq,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
571,8lfuo7z,vaiys0,MilkTeaRamen,2017,17491,1510293876.0,False,False,False
572,oonsx3j,vahify,helloween123,4295,23215,1521394311.0,False,False,False
573,1eqdt8vc,vahexk,lobangbecausenomoney,13458,19387,1526833868.0,False,False,False
574,6z4wpym0,vahchu,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
575,js4uzrh2,vag56k,unliketrap,4419,7599,1645076991.0,False,False,False
576,6z4wpym0,vaer7u,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
577,cxs36,vael32,CrotchGuzzler,2952,1381,1377788915.0,False,False,False
578,9gsio0jb,vadn1v,Available_Ad_4550,23,20,1608800756.0,False,False,False
579,au1pv8l8,vacfjs,Thefunincaifun,22159,37147,1615431095.0,False,False,False
580,ojuqd,va9p4t,Twrd4321,71809,99336,1436105514.0,False,True,False
581,6l4z3,va7mhr,AutoModerator,1000,1000,1325741068.0,True,True,False
582,6z4wpym0,va3p62,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
583,5drps2e1,v9zle5,patricklhe,10287,12737,1578300058.0,False,False,False
584,6z4wpym0,v9z5pt,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
585,6mgkfsl,v9yb9a,Ron_LoLnald,598,2903,1506016471.0,False,False,False
586,d96v1,v9wrzc,Slavor,2127,10088,1379914239.0,False,False,False
587,8yoy03ne,v9wmvk,802938019,6677,2152,1609375750.0,False,False,False
588,ybwxv1p,v9wmc8,RealG98,4949,2060,1519321121.0,False,False,False
589,4bs17pmh,v9wlp9,Aizxh3458,899,315,1565268332.0,False,False,False
590,6z4wpym0,v9vu3k,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
591,3k1qqutw,v9v6xu,fatenumber,5468,23093,1554622601.0,False,False,False
592,1eqdt8vc,v9tosm,lobangbecausenomoney,13458,19387,1526833868.0,False,False,False
593,4l1qqy8i,v9tc3z,uncomfortablehistory,5203,3954,1568434631.0,False,False,False
594,6z4wpym0,v9t5el,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
595,nrupy,v9sbzo,clydeshadow,2254,34643,1432851847.0,False,False,False
596,1eqdt8vc,v9qske,lobangbecausenomoney,13458,19387,1526833868.0,False,False,False
597,4l1qqy8i,v9qlsk,uncomfortablehistory,5203,3954,1568434631.0,False,False,False
598,6z4wpym0,v9qear,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
599,g7tss,v9nnep,GigaBowserNS,3996,13071,1397982795.0,False,False,False
600,5drps2e1,v9kvon,patricklhe,10287,12737,1578300058.0,False,False,False
601,116xif,v9kdn2,suisyed,28843,2437,1473083803.0,False,True,False
602,6l4z3,v9ipul,AutoModerator,1000,1000,1325741068.0,True,True,False
603,d75jth7h,v9gg8f,Pentecat,4719,2145,1625820215.0,False,False,False
604,3xkgm8ps,v9dpo0,MrNotSmartEinstein,4047,6798,1560343654.0,False,False,False
605,6z4wpym0,v9ddtw,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
606,1eqdt8vc,v9bcjx,lobangbecausenomoney,13458,19387,1526833868.0,False,False,False
607,6z4wpym0,v996xb,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
608,cpt8lfzq,v984ep,RozyBarbie,2228,5341,1623666923.0,False,False,False
609,5peq6klc,v97h6m,Iridiumstuffs,111341,12317,1581909412.0,False,True,False
610,cjh67r8,v96kou,Unigie,1204,3471,1504367453.0,False,False,False
611,1eqdt8vc,v96fx5,lobangbecausenomoney,13458,19387,1526833868.0,False,False,False
612,6z4wpym0,v95hej,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
613,cpah7,v95ey3,elmachosierra,1267,6726,1376125202.0,False,True,False
614,au1pv8l8,v95c0e,Thefunincaifun,22159,37147,1615431095.0,False,False,False
615,67azp9ne,v953ze,Thick_Eggplant_316,617,158,1602468324.0,False,False,False
616,4l1qqy8i,v943lo,uncomfortablehistory,5203,3954,1568434631.0,False,False,False
617,zdn6i,v92p7r,risingsuncoc,36496,50195,1468105268.0,False,False,False
618,au1pv8l8,v92mjp,Thefunincaifun,22159,37147,1615431095.0,False,False,False
619,1eqdt8vc,v92gkx,lobangbecausenomoney,13458,19387,1526833868.0,False,False,False
620,6z4wpym0,v92fgp,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
621,4kni8vvs,v927kd,Amingboi,590,191,1640169971.0,False,False,False
622,4l1qqy8i,v91hvb,uncomfortablehistory,5203,3954,1568434631.0,False,False,False
623,10nypt,v90zzs,cheewee75,1700,470,1471535541.0,False,False,False
624,6z4wpym0,v8zgy6,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
625,7c1uw7ks,v8yznu,ILoveVitasoy,1070,7073,1595174719.0,False,False,False
626,au1pv8l8,v8y1x4,Thefunincaifun,22159,37147,1615431095.0,False,False,False
627,6z4wpym0,v8vz7z,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
628,4lum6,v8vyxm,3ply,503,4278,1291992244.0,False,False,False
629,4inmbgvn,v8v138,gustavmahler23,12992,3194,1567596679.0,False,False,False
630,555ummyf,v8uv2a,jhmelvin,3582,9043,1575325946.0,False,False,False
631,j9g1l,v8ui3q,ZeroPauper,9665,18015,1415460951.0,False,True,False
632,au5bre3r,v8txbe,ComfortableOk7485,2601,3734,1626243900.0,False,False,False
633,6l4z3,v8s3ny,AutoModerator,1000,1000,1325741068.0,True,True,False
634,6z4wpym0,v8n12m,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
635,3d6rv89u,v8jwfj,Jammy_buttons2,67741,167013,1552008832.0,False,False,False
636,40ddigft,v8jgjq,Downpesman,1583,4433,1561447836.0,False,False,False
637,5drps2e1,v8jdkf,patricklhe,10287,12737,1578300058.0,False,False,False
638,4bg29u7p,v8iw8b,DigitalInvestments2,23,451,1565387059.0,False,True,False
639,am0eouxu,v8itj7,Familiar-Mouse4490,16502,45339,1614519353.0,False,False,False
640,7pgzmgbz,v8iggk,honest_kind,529,1361,1598798750.0,False,False,False
641,6z4wpym0,v8iab6,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
642,7c1uw7ks,v8h40n,ILoveVitasoy,1070,7073,1595174719.0,False,False,False
643,4l1qqy8i,v8frcc,uncomfortablehistory,5203,3954,1568434631.0,False,False,False
644,de3s4ctp,v8fmwd,mailchecker,3755,2664,1629545640.0,False,True,False
645,6z4wpym0,v8e7j8,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
646,n15s4ez,v8e4oa,FightWithHonour,4371,7898,1512351479.0,False,False,False
647,am0eouxu,v8e1hr,Familiar-Mouse4490,16502,45339,1614519353.0,False,False,False
648,au1pv8l8,v8dtdd,Thefunincaifun,22159,37147,1615431095.0,False,False,False
649,9p4ej0g9,v8d90u,Mysterious_Degree_83,4752,131,1615463958.0,False,False,False
650,hjs4q,v8cyuf,sandara3,88992,9967,1406183462.0,False,False,False
651,1eqdt8vc,v8cyea,lobangbecausenomoney,13458,19387,1526833868.0,False,False,False
652,irruijc,v8citi,brownriver12,5602,29160,1509069588.0,False,False,False
653,mudpnp4,v8ci0v,ukH5A,1830,623,1512204778.0,False,False,False
654,13u56e,v8cd6h,lemonnerd7d_-l,970,254,1482627828.0,False,False,False
655,s00pe,v8buub,n00bball,3209,1466,1447427134.0,False,False,False
656,6z4wpym0,v8badf,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
657,lkpbhb0,v8atit,paintingcopper,1845,3093,1514882376.0,False,False,False
658,4l1qqy8i,v8ahfh,uncomfortablehistory,5203,3954,1568434631.0,False,False,False
659,1eqdt8vc,v8a4go,lobangbecausenomoney,13458,19387,1526833868.0,False,False,False
660,51r50ub5,v89fi9,yrt97,18756,6902,1574140851.0,False,False,False
661,7c1uw7ks,v88mfv,ILoveVitasoy,1070,7073,1595174719.0,False,False,False
662,6z4wpym0,v886cl,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
663,au1pv8l8,v87xg6,Thefunincaifun,22158,37147,1615431095.0,False,False,False
664,js4uzrh2,v85twh,unliketrap,4419,7598,1645076991.0,False,False,False
665,cpt8lfzq,v85hx6,RozyBarbie,2228,5341,1623666923.0,False,False,False
666,5drps2e1,v854jc,patricklhe,10287,12737,1578300058.0,False,False,False
667,6z4wpym0,v84s71,MicrotechAnalysis,126524,13038,1592564304.0,False,False,False
668,3lb65kem,v825n1,homerulez7,3227,8000,1555135884.0,False,False,False
669,vjhr0h9,v81e4q,worldcitizensg,14767,57213,1517833338.0,False,True,False
670,6l4z3,v81576,AutoModerator,1000,1000,1325741068.0,True,True,False
671,s00pe,v7qivw,n00bball,3209,1466,1447427134.0,False,False,False
672,js4uzrh2,v7qdec,unliketrap,4419,7597,1645076991.0,False,False,False
673,46ldeyud,v7q3pq,Jonnyboo234,10349,511,1563467367.0,False,False,False
674,ojuqd,v7oc8n,Twrd4321,71808,99336,1436105514.0,False,True,False
675,5drps2e1,v7n760,patricklhe,10287,12737,1578300058.0,False,False,False
